DATE,"gold fixing price(not seasonally, monthly, average)"
2000-01-01,284.59
2000-02-01,300.8547619
2000-03-01,286.7043478
2000-04-01,279.9611111
2000-05-01,275.2928571
2000-06-01,285.3681818
2000-07-01,282.152381
2000-08-01,274.5227273
2000-09-01,273.6761905
2000-10-01,270.4045455
2000-11-01,265.9886364
2000-12-01,271.8921053
2001-01-01,265.9340909
2001-02-01,262.0175
2001-03-01,263.2727273
2001-04-01,260.75
2001-05-01,272.0571429
2001-06-01,270.7380952
2001-07-01,267.7068182
2001-08-01,272.6568182
2001-09-01,282.4775
2001-10-01,283.3217391
2001-11-01,276.2477273
2001-12-01,275.9921053
2002-01-01,281.7636364
2002-02-01,295.6825
2002-03-01,294.3525
2002-04-01,302.8619048
2002-05-01,314.4795455
2002-06-01,321.5361111
2002-07-01,313.5673913
2002-08-01,310.0452381
2002-09-01,318.8
2002-10-01,316.7478261
2002-11-01,319.2547619
2002-12-01,333.3
2003-01-01,356.8636364
2003-02-01,359.575
2003-03-01,341.5642857
2003-04-01,328.2075
2003-05-01,355.405
2003-06-01,356.9119048
2003-07-01,350.7652174
2003-08-01,358.9925
2003-09-01,378.8590909
2003-10-01,379.0934783
2003-11-01,390.2
2003-12-01,407.6738095
2004-01-01,414.4952381
2004-02-01,404.73
2004-03-01,405.976087
2004-04-01,404.85
2004-05-01,383.9526316
2004-06-01,391.7795455
2004-07-01,398.4409091
2004-08-01,400.1333333
2004-09-01,405.4022727
2004-10-01,420.2095238
2004-11-01,439.0590909
2004-12-01,442.9738095
2005-01-01,424.08
2005-02-01,423.43
2005-03-01,434.3547619
2005-04-01,429.1404762
2005-05-01,422.9025
2005-06-01,430.3022727
2005-07-01,424.7452381
2005-08-01,437.7727273
2005-09-01,455.9363636
2005-10-01,470.1071429
2005-11-01,476.6681818
2005-12-01,509.4225
2006-01-01,549.4333333
2006-02-01,555.5175
2006-03-01,557.2152174
2006-04-01,611.8527778
2006-05-01,676.7690476
2006-06-01,597.8977273
2006-07-01,633.0928571
2006-08-01,631.5568182
2006-09-01,600.15
2006-10-01,586.6477273
2006-11-01,626.825
2006-12-01,629.5131579
2007-01-01,630.3522727
2007-02-01,665.1025
2007-03-01,655.8909091
2007-04-01,680.0078947
2007-05-01,668.3095238
2007-06-01,655.7142857
2007-07-01,665.2659091
2007-08-01,664.5295455
2007-09-01,710.645
2007-10-01,754.4804348
2007-11-01,808.3113636
2007-12-01,803.6184211
2008-01-01,887.7840909
2008-02-01,924.2833333
2008-03-01,971.0552632
2008-04-01,911.6
2008-05-01,889.125
2008-06-01,889.5357143
2008-07-01,941.1673913
2008-08-01,840.3875
2008-09-01,824.9204545
2008-10-01,812.8152174
2008-11-01,757.85
2008-12-01,819.9404762
2009-01-01,857.7261905
2009-02-01,939.7625
2009-03-01,925.9886364
2009-04-01,892.6625
2009-05-01,926.8552632
2009-06-01,947.8068182
2009-07-01,934.2717391
2009-08-01,949.5
2009-09-01,996.4431818
2009-10-01,1043.511364
2009-11-01,1126.119048
2009-12-01,1135.011905
2010-01-01,1119.575
2010-02-01,1095.8
2010-03-01,1115.554348
2010-04-01,1148.475
2010-05-01,1204.321053
2010-06-01,1232.381818
2010-07-01,1196
2010-08-01,1213.464286
2010-09-01,1271.461364
2010-10-01,1343.190476
2010-11-01,1371.784091
2010-12-01,1393.511905
2011-01-01,1360.475
2011-02-01,1371.3125
2011-03-01,1422.847826
2011-04-01,1474.430556
2011-05-01,1512.1875
2011-06-01,1528.379545
2011-07-01,1568.52619
2011-08-01,1759.5
2011-09-01,1780.647727
2011-10-01,1667.892857
2011-11-01,1735.977273
2011-12-01,1652.725
2012-01-01,1656.095238
2012-02-01,1743.095238
2012-03-01,1675.056818
2012-04-01,1648.539474
2012-05-01,1585.113636
2012-06-01,1595.631579
2012-07-01,1592.784091
2012-08-01,1625.681818
2012-09-01,1741.925
2012-10-01,1746.347826
2012-11-01,1724.352273
2012-12-01,1687.342105
2013-01-01,1671.886364
2013-02-01,1630.6875
2013-03-01,1591.0125
2013-04-01,1485.904762
2013-05-01,1416.142857
2013-06-01,1342.7
2013-07-01,1284.347826
2013-08-01,1345.047619
2013-09-01,1348.464286
2013-10-01,1314.402174
2013-11-01,1277.416667
2013-12-01,1221.5875
2014-01-01,1243.068182
2014-02-01,1298.7125
2014-03-01,1336.559524
2014-04-01,1299.175
2014-05-01,1288.9125
2014-06-01,1277.857143
2014-07-01,1312.98913
2014-08-01,1297.005
2014-09-01,1241.329545
2014-10-01,1223.565217
2014-11-01,1176.4125
2014-12-01,1200.440476
2015-01-01,1249.333333
2015-02-01,1231.1
2015-03-01,1180.636364
2015-04-01,1198.2525
2015-05-01,1197.684211
2015-06-01,1182.247727
2015-07-01,1131.580435
2015-08-01,1117.525
2015-09-01,1124.904545
2015-10-01,1157.122727
2015-11-01,1088.388095
2015-12-01,1068.316667
2016-01-01,1095.655
2016-02-01,1194.892857
2016-03-01,1246.311905
2016-04-01,1241.452381
2016-05-01,1259.755
2016-06-01,1273.579545
2016-07-01,1337.428571
2016-08-01,1340.861364
2016-09-01,1326.618182
2016-10-01,1268.928571
2016-11-01,1240.293182
2016-12-01,1152.165
2017-01-01,1192.647619
2017-02-01,1233.39
2017-03-01,1231.063043
2017-04-01,1267.15
2017-05-01,1245.25
2017-06-01,1261.277273
2017-07-01,1235.1
2017-08-01,1282.059524
2017-09-01,1317.045238
2017-10-01,1280.677273
2017-11-01,1283.188636
2017-12-01,1265.673684
2018-01-01,1332.809091
2018-02-01,1333.775
2018-03-01,1325.561905
2018-04-01,1334.3775
2018-05-01,1303.611905
2018-06-01,1282.12619
2018-07-01,1238.063636
2018-08-01,1201.859091
2018-09-01,1199.1975
2018-10-01,1214.726087
2018-11-01,1221.275
2018-12-01,1249.886842
2019-01-01,1291.629545
2019-02-01,1319.755
2019-03-01,1302.285714
2019-04-01,1287.65
2019-05-01,1283.104762
2019-06-01,1358.4875
2019-07-01,1414.61087
2019-08-01,1497.102381
2019-09-01,1510.335714
2019-10-01,1495.095455
2019-11-01,1471.921429
2019-12-01,1480.025
2020-01-01,1560.668182
2020-02-01,1600.423684
