DATE,CPI Energy OECD(growthrate+not seasonally adjusted)
2000-01-01,0.267379679
2000-02-01,3.733333333
2000-03-01,4.71293916
2000-04-01,-1.227495908
2000-05-01,0.248550124
2000-06-01,7.107438017
2000-07-01,0.077160494
2000-08-01,-2.929838088
2000-09-01,3.733121525
2000-10-01,-0.995405819
2000-11-01,-0.232018561
2000-12-01,-0.697674419
2001-01-01,3.43481655
2001-02-01,-0.377358491
2001-03-01,-1.893939394
2001-04-01,2.77992278
2001-05-01,5.259203606
2001-06-01,0.28551035
2001-07-01,-5.765124555
2001-08-01,-2.265861027
2001-09-01,2.395672334
2001-10-01,-7.849056604
2001-11-01,-4.995904996
2001-12-01,-3.965517241
2002-01-01,0.26929982
2002-02-01,-0.626678603
2002-03-01,4.144144144
2002-04-01,5.709342561
2002-05-01,0.572831424
2002-06-01,1.6273393
2002-07-01,0.480384307
2002-08-01,0.239043825
2002-09-01,0.238473768
2002-10-01,-0.237906423
2002-11-01,-0.39745628
2002-12-01,-1.596169194
2003-01-01,3.406326034
2003-02-01,6.196078431
2003-03-01,5.317577548
2003-04-01,-3.155680224
2003-05-01,-2.968863143
2003-06-01,1.865671642
2003-07-01,0.21978022
2003-08-01,2.777777778
2003-09-01,2.844950213
2003-10-01,-5.325034578
2003-11-01,-2.775748722
2003-12-01,-0.976709241
2004-01-01,4.248861912
2004-02-01,2.328966521
2004-03-01,1.778093883
2004-04-01,1.956673655
2004-05-01,5.620287868
2004-06-01,3.634003894
2004-07-01,-2.12899186
2004-08-01,-0.639795266
2004-09-01,-0.643915003
2004-10-01,2.203499676
2004-11-01,0.570703868
2004-12-01,-3.089533417
2005-01-01,-1.171112557
2005-02-01,2.172481896
2005-03-01,3.608247423
2005-04-01,6.281094527
2005-05-01,-0.877706261
2005-06-01,1.180637544
2005-07-01,4.14235706
2005-08-01,4.537815126
2005-09-01,11.46838156
2005-10-01,-1.778846154
2005-11-01,-8.174253549
2005-12-01,-4.051172708
2006-01-01,5.277777778
2006-02-01,-1.635883905
2006-03-01,1.180257511
2006-04-01,6.786850477
2006-05-01,3.922542205
2006-06-01,0.955566173
2006-07-01,1.798390913
2006-08-01,-0.185960019
2006-09-01,-7.265952492
2006-10-01,-8.94023104
2006-11-01,-0.496414782
2006-12-01,2.66075388
2007-01-01,-0.88174946
2007-02-01,0.481568038
2007-03-01,6.764940282
2007-04-01,5.248592132
2007-05-01,5.696089547
2007-06-01,0.920706072
2007-07-01,-1.725104936
2007-08-01,-3.672781833
2007-09-01,0.163884297
2007-10-01,-0.977403798
2007-11-01,5.501763108
2007-12-01,-0.686273167
2008-01-01,0.900664809
2008-02-01,-0.070170642
2008-03-01,5.104167142
2008-04-01,4.203379536
2008-05-01,7.040975212
2008-06-01,7.201309966
2008-07-01,1.8910025
2008-08-01,-5.181015052
2008-09-01,-3.10308957
2008-10-01,-10.25463142
2008-11-01,-17.97496124
2008-12-01,-9.887436953
2009-01-01,2.023860994
2009-02-01,2.358809314
2009-03-01,-0.720036254
2009-04-01,1.267934225
2009-05-01,4.009370966
2009-06-01,9.897329717
2009-07-01,-1.689320766
2009-08-01,1.501946142
2009-09-01,-1.330919984
2009-10-01,-1.505614533
2009-11-01,2.423719114
2009-12-01,-0.845480478
2010-01-01,2.829941523
2010-02-01,-1.716612347
2010-03-01,2.711599129
2010-04-01,1.418101991
2010-05-01,0.650774497
2010-06-01,-1.260945219
2010-07-01,0.336388548
2010-08-01,0.137023713
2010-09-01,-1.250805265
2010-10-01,0.449517388
2010-11-01,0.484955937
2010-12-01,2.822569231
2011-01-01,2.437681518
2011-02-01,1.609739056
2011-03-01,6.901172529
2011-04-01,4.527123984
2011-05-01,2.714451962
2011-06-01,-2.383476204
2011-07-01,-0.593697132
2011-08-01,-0.377976815
2011-09-01,-0.487076192
2011-10-01,-3.823858192
2011-11-01,-1.13116537
2011-12-01,-2.467492663
2012-01-01,1.998278089
2012-02-01,2.414514945
2012-03-01,4.506661502
2012-04-01,0.842668938
2012-05-01,-2.123283386
2012-06-01,-2.45259802
2012-07-01,-1.718086392
2012-08-01,4.306335739
2012-09-01,2.407453277
2012-10-01,-2.266201645
2012-11-01,-4.621132591
2012-12-01,-2.290475672
2013-01-01,0.492990624
2013-02-01,5.763263775
2013-03-01,0.571840771
2013-04-01,-1.926552201
2013-05-01,1.245316784
2013-06-01,1.660983435
2013-07-01,-0.21871936
2013-08-01,-0.540637308
2013-09-01,-0.599173636
2013-10-01,-4.019508034
2013-11-01,-2.258892187
2013-12-01,0.603081463
2014-01-01,2.13565161
2014-02-01,1.039444628
2014-03-01,3.512628026
2014-04-01,0.867715322
2014-05-01,1.29195899
2014-06-01,1.514168965
2014-07-01,-0.750794665
2014-08-01,-2.69709624
2014-09-01,-1.54372766
2014-10-01,-4.991156603
2014-11-01,-5.495750708
2014-12-01,-5.435801735
2015-01-01,-8.182663203
2015-02-01,2.065216827
2015-03-01,4.137397824
2015-04-01,-0.496260947
2015-05-01,5.210711042
2015-06-01,3.047170251
2015-07-01,-0.456848425
2015-08-01,-3.003838946
2015-09-01,-5.442958433
2015-10-01,-3.540946534
2015-11-01,-2.690988735
2015-12-01,-3.111477437
2016-01-01,-1.748846645
2016-02-01,-4.50127934
2016-03-01,4.04275228
2016-04-01,3.706351911
2016-05-01,3.781806821
2016-06-01,3.820981663
2016-07-01,-2.04714175
2016-08-01,-1.23303052
2016-09-01,1.202951572
2016-10-01,-0.544288544
2016-11-01,-1.737291181
2016-12-01,0.994764945
2017-01-01,3.260116085
2017-02-01,-0.707887459
2017-03-01,0.202830546
2017-04-01,2.151089896
2017-05-01,0.12964031
2017-06-01,0.745328161
2017-07-01,-1.022253061
2017-08-01,1.648942998
2017-09-01,4.767987411
2017-10-01,-3.903834297
2017-11-01,1.00969656
2017-12-01,-1.330098432
2018-01-01,1.967589231
2018-02-01,1.355719799
2018-03-01,-0.451950412
2018-04-01,2.952661441
2018-05-01,3.646666362
2018-06-01,1.025968873
2018-07-01,-0.88593287
2018-08-01,-0.073973942
2018-09-01,-0.341060814
2018-10-01,-0.180399266
2018-11-01,-4.361769513
2018-12-01,-4.633875226
2019-01-01,-2.59440033
2019-02-01,1.085444474
2019-03-01,4.431291309
2019-04-01,5.089172697
2019-05-01,1.471467287
2019-06-01,-1.948860138
2019-07-01,0.505481698
2019-08-01,-2.478291354
2019-09-01,-0.7189669
2019-10-01,0.433111439
2019-11-01,-0.792693355
2019-12-01,-0.770606981
2020-01-01,0.028640918
2020-02-01,-2.200964125
